Date,Location,Sentiment
2020-07-10,Chennai,neutral
2020-07-10,Chennai,positive
2020-07-10,Chennai,positive
2020-07-10,Chennai,neutral
2020-07-10,Chennai,positive
2020-07-10,Chennai,positive
2020-07-10,Chennai,positive
2020-07-10,Chennai,positive
2020-07-10,Chennai,negative
2020-07-10,Chennai,positive
2020-07-10,Chennai,neutral
2020-07-10,Chennai,negative
2020-07-10,Chennai,positive
2020-07-10,Chennai,neutral
2020-07-10,Chennai,neutral
2020-07-10,Chennai,positive
2020-07-10,Chennai,positive
2020-07-10,Chennai,positive
2020-07-10,Chennai,neutral
2020-07-10,Chennai,positive
2020-07-10,Chennai,negative
2020-07-10,Chennai,positive
2020-07-10,Chennai,positive
2020-07-10,Chennai,positive
2020-07-10,Chennai,positive
2020-07-10,Chennai,positive
2020-07-10,Chennai,positive
2020-07-10,Chennai,neutral
2020-07-10,Chennai,negative
2020-07-10,Chennai,neutral
2020-07-10,Chennai,neutral
2020-07-10,Chennai,positive
2020-07-10,Chennai,positive
2020-07-10,Chennai,positive
2020-07-10,Chennai,positive
2020-07-10,Chennai,positive
2020-07-10,Chennai,positive
2020-07-10,Chennai,negative
2020-07-10,Chennai,negative
2020-07-10,Chennai,positive
2020-07-10,Chennai,positive
2020-07-10,Chennai,positive
2020-07-10,Chennai,neutral
2020-07-10,Chennai,positive
2020-07-10,Chennai,positive
2020-07-10,Chennai,neutral
2020-07-10,Chennai,positive
2020-07-10,Chennai,positive
2020-07-10,Chennai,neutral
2020-07-10,Chennai,positive
2020-07-10,Chennai,positive
2020-07-10,Chennai,positive
2020-07-10,Chennai,positive
2020-07-10,Chennai,negative
2020-07-10,Chennai,negative
2020-07-10,Chennai,neutral
2020-07-10,Chennai,negative
2020-07-10,Chennai,negative
2020-07-10,Chennai,neutral
2020-07-10,Chennai,positive
2020-07-10,Chennai,negative
2020-07-10,Chennai,positive
2020-07-10,Chennai,positive
2020-07-10,Chennai,negative
2020-07-10,Chennai,negative
2020-07-10,Chennai,positive
2020-07-10,Chennai,negative
2020-07-10,Chennai,positive
2020-07-10,Chennai,positive
2020-07-10,Chennai,positive
2020-07-10,Chennai,positive
2020-07-10,Chennai,positive
2020-07-10,Chennai,neutral
2020-07-10,Chennai,positive
2020-07-10,Chennai,neutral
2020-07-10,Chennai,positive
2020-07-10,Chennai,neutral
2020-07-10,Chennai,neutral
2020-07-10,Chennai,negative
2020-07-10,Chennai,positive
2020-07-10,Chennai,positive
2020-07-10,Chennai,positive
2020-07-10,Chennai,positive
2020-07-10,Chennai,neutral
2020-07-10,Chennai,neutral
2020-07-10,Chennai,positive
2020-07-10,Chennai,positive
2020-07-10,Chennai,positive
2020-07-10,Chennai,positive
2020-07-10,Chennai,positive
2020-07-10,Chennai,positive
2020-07-10,Chennai,positive
2020-07-10,Chennai,positive
2020-07-10,Chennai,positive
2020-07-10,Other,positive
2020-07-10,Other,positive
2020-07-09,Other,neutral
2020-07-08,Chennai,neutral
2020-07-08,Chennai,negative
2020-07-08,Other,negative
2020-07-08,Chennai,positive
2020-07-08,Chennai,positive
2020-07-08,Chennai,positive
2020-07-08,Other,positive
2020-07-07,Chennai,positive
2020-07-07,Chennai,positive
2020-07-07,Chennai,positive
2020-07-07,Chennai,positive
2020-07-06,Chennai,positive
2020-07-06,Chennai,neutral
2020-07-06,Chennai,neutral
2020-07-06,Chennai,positive
2020-07-06,Chennai,positive
2020-07-06,Chennai,positive
2020-07-06,Chennai,positive
2020-07-06,Chennai,positive
2020-07-06,Chennai,neutral
2020-07-06,Chennai,positive
2020-07-06,Chennai,positive
2020-07-06,Chennai,neutral
2020-07-06,Chennai,neutral
2020-07-06,Chennai,positive
2020-07-06,Chennai,positive
2020-07-06,Chennai,negative
2020-07-06,Chennai,positive
2020-07-06,Chennai,positive
2020-07-06,Chennai,neutral
2020-07-06,Chennai,neutral
2020-07-06,Chennai,positive
2020-07-06,Chennai,positive
2020-07-05,Chennai,negative
2020-07-05,Other,positive
2020-07-05,Other,neutral
2020-07-05,Chennai,neutral
2020-07-04,Chennai,positive
2020-07-13,Mumbai,positive
2020-07-13,Other,positive
2020-07-13,Other,positive
2020-07-13,Other,positive
2020-07-13,Other,neutral
2020-07-13,Other,positive
2020-07-12,Other,negative
2020-07-12,Other,positive
2020-07-12,Other,positive
2020-07-12,Other,positive
2020-07-12,Mumbai,positive
2020-07-12,Mumbai,positive
2020-07-12,Mumbai,positive
2020-07-12,Mumbai,neutral
2020-07-12,Other,positive
2020-07-12,Other,positive
2020-07-12,Other,neutral
2020-07-12,Other,positive
2020-07-12,Mumbai,neutral
2020-07-12,Mumbai,positive
2020-07-12,Other,negative
2020-07-12,Other,positive
2020-07-12,Other,negative
2020-07-12,Other,neutral
2020-07-12,Other,positive
2020-07-11,Other,positive
2020-07-11,Other,neutral
2020-07-11,Other,positive
2020-07-11,Mumbai,neutral
2020-07-11,Mumbai,negative
2020-07-11,Other,positive
2020-07-11,Mumbai,positive
2020-07-11,Mumbai,neutral
2020-07-11,Other,positive
2020-07-11,Other,positive
2020-07-11,Mumbai,positive
2020-07-11,Delhi,positive
2020-07-11,Mumbai,positive
2020-07-11,Delhi,positive
2020-07-11,Delhi,neutral
2020-07-11,Delhi,positive
2020-07-11,Other,negative
2020-07-10,Mumbai,neutral
2020-07-10,Mumbai,negative
2020-07-10,Delhi,positive
2020-07-10,Mumbai,neutral
2020-07-10,Delhi,neutral
2020-07-10,Other,negative
2020-07-10,Delhi,negative
2020-07-10,Mumbai,negative
2020-07-10,Other,positive
2020-07-09,Mumbai,neutral
2020-07-09,Mumbai,positive
2020-07-09,Other,neutral
2020-07-09,Other,positive
2020-07-09,Mumbai,neutral
2020-07-09,Other,neutral
2020-07-09,Mumbai,positive
2020-07-09,Mumbai,positive
2020-07-09,Mumbai,negative
2020-07-09,Other,positive
2020-07-09,Other,positive
2020-07-09,Delhi,negative
2020-07-09,Delhi,positive
2020-07-09,Delhi,positive
2020-07-09,Delhi,neutral
2020-07-09,Other,neutral
2020-07-08,Mumbai,neutral
2020-07-08,Mumbai,positive
2020-07-08,Mumbai,negative
2020-07-08,Mumbai,positive
2020-07-08,Mumbai,positive
2020-07-08,Mumbai,neutral
2020-07-08,Other,negative
2020-07-08,Other,positive
2020-07-08,Other,positive
2020-07-08,Other,positive
2020-07-08,Other,positive
2020-07-08,Other,neutral
2020-07-08,Other,negative
2020-07-08,Other,positive
2020-07-08,Mumbai,positive
2020-07-08,Other,negative
2020-07-08,Mumbai,positive
2020-07-08,Other,positive
2020-07-08,Other,negative
2020-07-08,Mumbai,positive
2020-07-08,Other,neutral
2020-07-08,Other,neutral
2020-07-08,Other,negative
2020-07-08,Other,negative
2020-07-08,Other,neutral
2020-07-08,Other,neutral
2020-07-08,Other,neutral
2020-07-08,Other,positive
2020-07-07,Other,positive
2020-07-07,Other,neutral
2020-07-07,Other,neutral
2020-07-07,Other,negative
2020-07-07,Other,neutral
2020-07-07,Other,neutral
2020-07-07,Other,positive
2020-07-07,Other,positive
2020-07-07,Other,negative
2020-07-07,Other,positive
2020-07-07,Other,neutral
2020-07-07,Other,positive
2020-07-07,Other,positive
2020-07-07,Other,positive
2020-07-07,Other,neutral
2020-07-07,Other,negative
2020-07-07,Other,neutral
2020-07-07,Other,positive
2020-07-07,Other,positive
2020-07-07,Other,positive
2020-07-07,Other,positive
2020-07-07,Other,positive
2020-07-07,Other,neutral
2020-07-07,Other,neutral
2020-07-07,Other,positive
2020-07-07,Other,neutral
2020-07-07,Other,neutral
2020-07-07,Other,positive
2020-07-07,Other,positive
2020-07-07,Other,positive
2020-07-07,Other,neutral
2020-07-07,Other,positive
2020-07-07,Other,neutral
2020-07-07,Other,positive
2020-07-07,Other,neutral
2020-07-07,Mumbai,neutral
2020-07-07,Other,neutral
2020-07-07,Other,positive
2020-07-07,Delhi,positive
2020-07-07,Other,neutral
2020-07-07,Delhi,positive
2020-07-07,Other,negative
2020-07-07,Other,positive
2020-07-07,Other,positive
2020-07-07,Other,neutral
2020-07-07,Other,positive
2020-07-07,Other,negative
2020-07-07,Other,neutral
2020-07-07,Other,neutral
2020-07-07,Other,positive
2020-07-07,Other,positive
2020-07-07,Other,neutral
2020-07-07,Other,neutral
2020-07-07,Other,neutral
2020-07-07,Other,positive
2020-07-07,Other,neutral
2020-07-07,Other,neutral
2020-07-07,Other,positive
2020-07-07,Other,neutral
2020-07-07,Mumbai,positive
2020-07-07,Other,positive
2020-07-07,Other,neutral
2020-07-07,Mumbai,positive
2020-07-07,Mumbai,negative
2020-07-06,Other,negative
2020-07-06,Other,neutral
2020-07-06,Other,neutral
2020-07-06,Delhi,negative
2020-07-06,Other,neutral
2020-07-06,Other,positive
2020-07-06,Chennai,positive
2020-07-06,Other,positive
2020-07-06,Mumbai,negative
2020-07-06,Other,positive
2020-07-06,Other,neutral
2020-07-06,Mumbai,negative
2020-07-06,Mumbai,positive
2020-07-06,Other,positive
2020-07-06,Other,neutral
2020-07-06,Other,neutral
2020-07-06,Delhi,positive
2020-07-06,Other,neutral
2020-07-06,Mumbai,positive
2020-07-06,Other,neutral
2020-07-06,Other,positive
2020-07-06,Other,neutral
2020-07-06,Delhi,positive
2020-07-06,Other,positive
2020-07-06,Other,positive
2020-07-06,Other,positive
2020-07-06,Delhi,positive
2020-07-06,Other,positive
2020-07-06,Delhi,positive
2020-07-06,Other,negative
2020-07-06,Other,positive
2020-07-06,Mumbai,positive
2020-07-06,Mumbai,neutral
2020-07-06,Mumbai,positive
2020-07-06,Mumbai,neutral
2020-07-06,Other,positive
2020-07-06,Delhi,positive
2020-07-06,Other,positive
2020-07-06,Delhi,positive
2020-07-06,Other,neutral
2020-07-06,Other,positive
2020-07-06,Mumbai,positive
2020-07-06,Bengaluru,positive
2020-07-06,Other,neutral
2020-07-06,Delhi,positive
2020-07-06,Delhi,neutral
2020-07-06,Mumbai,neutral
2020-07-06,Mumbai,positive
2020-07-06,Mumbai,positive
2020-07-06,Other,positive
2020-07-06,Other,positive
2020-07-06,Other,neutral
2020-07-06,Other,neutral
2020-07-06,Other,positive
2020-07-06,Other,neutral
2020-07-06,Other,neutral
2020-07-06,Mumbai,positive
2020-07-06,Mumbai,neutral
2020-07-06,Mumbai,positive
2020-07-06,Delhi,neutral
2020-07-06,Mumbai,positive
2020-07-06,Other,neutral
2020-07-06,Other,neutral
2020-07-06,Other,neutral
2020-07-06,Other,positive
2020-07-06,Other,positive
2020-07-06,Other,positive
2020-07-06,Other,negative
2020-07-06,Other,negative
2020-07-06,Mumbai,positive
2020-07-06,Other,neutral
2020-07-06,Other,positive
2020-07-06,Delhi,positive
2020-07-06,Mumbai,positive
2020-07-06,Other,positive
2020-07-06,Other,negative
2020-07-06,Delhi,neutral
2020-07-06,Other,neutral
2020-07-06,Mumbai,neutral
2020-07-06,Other,positive
2020-07-06,Bengaluru,neutral
2020-07-06,Delhi,positive
2020-07-06,Mumbai,positive
2020-07-06,Other,neutral
2020-07-06,Delhi,neutral
2020-07-06,Other,negative
2020-07-06,Delhi,positive
2020-07-06,Other,positive
2020-07-06,Other,negative
2020-07-06,Other,negative
2020-07-06,Other,negative
2020-07-06,Delhi,positive
2020-07-06,Other,neutral
2020-07-06,Other,positive
2020-07-06,Mumbai,positive
2020-07-06,Other,neutral
2020-07-06,Other,neutral
2020-07-06,Other,positive
2020-07-06,Other,neutral
2020-07-06,Mumbai,positive
2020-07-06,Other,positive
2020-07-06,Mumbai,neutral
2020-07-06,Delhi,positive
2020-07-06,Delhi,positive
2020-07-06,Chennai,positive
2020-07-06,Other,positive
2020-07-06,Mumbai,negative
2020-07-06,Other,positive
2020-07-06,Other,neutral
2020-07-06,Bengaluru,negative
2020-07-06,Mumbai,positive
2020-07-06,Mumbai,neutral
2020-07-06,Delhi,neutral
2020-07-06,Mumbai,positive
2020-07-06,Other,positive
2020-07-06,Mumbai,positive
2020-07-06,Other,neutral
2020-07-06,Kolkata,positive
2020-07-06,Other,negative
2020-07-06,Other,positive
2020-07-06,Other,positive
